"","V","rpm","thrust","Q","Volts","Amps","effmot","effprop","adv","CT","CP","prop","motor","capacity","Volts100","vmass","throttle","Prop_diam","struct_mass","payload","motor_Kv","motor_IR","motor_I0","motor_mass","batt_ser","batt_par","total_batt","effesc","I_batt","thrust0","C_d","hover_throttle","t2wr","endur","range"
"1",0,5426,7.648857,0.109,11.982,6.0084,0.8605,0,0,0.01657,0.00143,"tm13","m10",12,21.6,6.2376,55.4722222222222,13,2,1,465,0.052,0.7,0.195,6,4,24,0.962006291338089,3.46462703,24.7,1,65,3.22924065647978,22.0802987847151,0
"2",1,5583,7.654,0.1134,12.33,6.2196,0.8642,0.1155,0.0325468998911903,0.01566,0.001405,"tm13","m10",12,21.6,6.2376,57.0833333333333,13,2,1,465,0.052,0.7,0.195,6,4,24,0.962245332758952,3.68965676333333,24.7,1,65,3.22924065647978,20.7336359198051,1.24401815518831
"3",2,5759,7.668,0.1181,12.72,6.4511,0.868,0.2153,0.063114596410619,0.01475,0.001376,"tm13","m10",12,21.6,6.2376,58.8888888888889,13,2,1,465,0.052,0.7,0.195,6,4,24,0.962516708783079,3.94692484446759,24.7,1,65,3.22924065647978,19.3821780283529,2.32586136340235
"4",3,5952,7.693,0.1232,13.148,6.6981,0.8718,0.3006,0.0915774258521425,0.01385,0.001343,"tm13","m10",12,21.6,6.2376,60.8703703703704,13,2,1,465,0.052,0.7,0.195,6,4,24,0.962821033406917,4.23459618798611,24.7,1,65,3.22924065647978,18.0654769909435,3.25178585836982
"5",4,6163,7.727,0.1286,13.615,6.96,0.8755,0.3726,0.117935388215761,0.01298,0.001308,"tm13","m10",12,21.6,6.2376,63.0324074074074,13,2,1,465,0.052,0.7,0.195,6,4,24,0.96315737347727,4.55486888888889,24.7,1,65,3.22924065647978,16.7952144981853,4.03085147956448
"6",5,6390,7.771,0.1342,14.118,7.2355,0.8792,0.4327,0.142188483501474,0.01214,0.00127,"tm13","m10",12,21.6,6.2376,65.3611111111111,13,2,1,465,0.052,0.7,0.195,6,4,24,0.963516651510059,4.90827344502315,24.7,1,65,3.22924065647978,15.5859287093242,4.67577861279727
"7",0,5546,7.9946595,0.1138,12.252,6.2407,0.8643,0,0,0.01658,0.001429,"tm13","m10",15,21.6,6.5196,56.7222222222222,13,2,1,465,0.052,0.7,0.195,6,5,30,0.96193442091383,3.67994287891204,24.7,1,65,3.08956247605042,25.985457695004,0
"8",1,5702,8,0.1182,12.599,6.4564,0.8678,0.1133,0.0318557495074005,0.01569,0.001404,"tm13","m10",15,21.6,6.5196,58.3287037037037,13,2,1,465,0.052,0.7,0.195,6,5,30,0.962150868066427,3.91407891518519,24.7,1,65,3.08956247605042,24.4310352632417,1.4658621157945
"9",2,5878,8.014,0.1231,12.988,6.6926,0.8714,0.2116,0.0618265434226471,0.0148,0.001376,"tm13","m10",15,21.6,6.5196,60.1296296296296,13,2,1,465,0.052,0.7,0.195,6,5,30,0.962399864250343,4.18145901935185,24.7,1,65,3.08956247605042,22.8688119523463,2.74425743428156
"10",3,6070,8.039,0.1282,13.414,6.9441,0.875,0.2959,0.0898181339661322,0.01392,0.001345,"tm13","m10",15,21.6,6.5196,62.1018518518518,13,2,1,465,0.052,0.7,0.195,6,5,30,0.962680865982178,4.47958907965278,24.7,1,65,3.08956247605042,21.3468240724018,3.84242833303232
"11",4,6279,8.073,0.1337,13.878,7.2103,0.8785,0.3673,0.115767689284784,0.01306,0.00131,"tm13","m10",15,21.6,6.5196,64.25,13,2,1,465,0.052,0.7,0.195,6,5,30,0.962993314628124,4.81064372891204,24.7,1,65,3.08956247605042,19.8777971075456,4.77067130581094
"12",5,6505,8.117,0.1394,14.378,7.4903,0.882,0.4273,0.139675209378602,0.01224,0.001273,"tm13","m10",15,21.6,6.5196,66.5648148148148,13,2,1,465,0.052,0.7,0.195,6,5,30,0.963329752169385,5.17569846965278,24.7,1,65,3.08956247605042,18.4757671956139,5.54273015868418
"13",6,6746,8.171,0.1454,14.912,7.7825,0.8854,0.4771,0.161603526100659,0.01145,0.001235,"tm13","m10",15,21.6,6.5196,69.037037037037,13,2,1,465,0.052,0.7,0.195,6,5,30,0.96368568414284,5.57526950520833,24.7,1,65,3.08956247605042,17.1516372277015,6.17458940197253
"14",7,7003,8.235,0.1517,15.48,8.086,0.8886,0.5182,0.181646887230562,0.01071,0.001195,"tm13","m10",15,21.6,6.5196,71.6666666666667,13,2,1,465,0.052,0.7,0.195,6,5,30,0.964059512614357,6.01100512037037,24.7,1,65,3.08956247605042,15.9083211684418,6.68149489074556
"15",8,7274,8.308,0.1581,16.079,8.4005,0.8918,0.5518,0.199868124621383,0.01002,0.001155,"tm13","m10",15,21.6,6.5196,74.4398148148148,13,2,1,465,0.052,0.7,0.195,6,5,30,0.964441505354093,6.483873421875,24.7,1,65,3.08956247605042,14.748128746219,7.07910179818512
"16",9,7558,8.392,0.1648,16.708,8.7255,0.8948,0.579,0.216361486052729,0.00937,0.001115,"tm13","m10",15,21.6,6.5196,77.3518518518518,13,2,1,465,0.052,0.7,0.195,6,5,30,0.964828067095627,6.99537675520833,24.7,1,65,3.08956247605042,13.6697426523601,7.38166103227447
"17",10,7855,8.485,0.1717,17.364,9.061,0.8977,0.6007,0.231315467083816,0.008771,0.001075,"tm13","m10",15,21.6,6.5196,80.3888888888889,13,2,1,465,0.052,0.7,0.195,6,5,30,0.965210938390259,7.54657550231481,24.7,1,65,3.08956247605042,12.6713103142834,7.60278618857003
"18",0,5663,8.340462,0.1186,12.516,6.4729,0.8679,0,0,0.01659,0.001428,"tm13","m10",18,21.6,6.8016,57.9444444444444,13,2,1,465,0.052,0.7,0.195,6,6,36,0.961848445853181,3.89945626113426,24.7,1,65,2.96146664297493,29.4271796669985,0
"19",1,5819,8.345,0.1231,12.862,6.6931,0.8712,0.1113,0.0312274309766825,0.01572,0.001404,"tm13","m10",18,21.6,6.8016,59.5462962962963,13,2,1,465,0.052,0.7,0.195,6,6,36,0.962043703352156,4.142736076875,24.7,1,65,2.96146664297493,27.6990853075438,1.66194511845263
"20",2,5994,8.36,0.128,13.25,6.9337,0.8746,0.2081,0.060632738214283,0.01484,0.001377,"tm13","m10",18,21.6,6.8016,61.3425925925926,13,2,1,465,0.052,0.7,0.195,6,6,36,0.96227273569055,4.42006843261574,24.7,1,65,2.96146664297493,25.9611365184435,3.11533638221322
"21",3,6185,8.385,0.1333,13.675,7.1896,0.878,0.2914,0.0881216739331937,0.01398,0.001346,"tm13","m10",18,21.6,6.8016,63.3101851851852,13,2,1,465,0.052,0.7,0.195,6,6,36,0.962534700519734,4.72891945777778,24.7,1,65,2.96146664297493,24.2655856215245,4.36780541187442
"22",4,6393,8.419,0.1388,14.136,7.4601,0.8813,0.3623,0.113694238133415,0.01314,0.001312,"tm13","m10",18,21.6,6.8016,65.4444444444444,13,2,1,465,0.052,0.7,0.195,6,6,36,0.962824393867103,5.070728401875,24.7,1,65,2.96146664297493,22.6298848815427,5.43117237157024
"23",5,6617,8.463,0.1447,14.632,7.7444,0.8846,0.4221,0.13731901488841,0.01233,0.001277,"tm13","m10",18,21.6,6.8016,67.7407407407407,13,2,1,465,0.052,0.7,0.195,6,6,36,0.963137225991014,5.44690183740741,24.7,1,65,2.96146664297493,21.0670218456917,6.3201065537075
"24",6,6856,8.517,0.1508,15.163,8.041,0.8878,0.4721,0.159027420124715,0.01156,0.001239,"tm13","m10",18,21.6,6.8016,70.1990740740741,13,2,1,465,0.052,0.7,0.195,6,6,36,0.963473409646171,5.85870610416667,24.7,1,65,2.96146664297493,19.5862359298738,7.05104493475456
"25",7,7111,8.581,0.1571,15.726,8.3488,0.8909,0.5135,0.178882285695403,0.01082,0.0012,"tm13","m10",18,21.6,6.8016,72.8055555555556,13,2,1,465,0.052,0.7,0.195,6,6,36,0.963824998896805,6.30652891259259,24.7,1,65,2.96146664297493,18.1954291481757,7.64208024223379
"26",8,7379,8.654,0.1636,16.32,8.6675,0.8939,0.5475,0.19697785938008,0.01014,0.001161,"tm13","m10",18,21.6,6.8016,75.5555555555556,13,2,1,465,0.052,0.7,0.195,6,6,36,0.964187124379844,6.79201952835648,24.7,1,65,2.96146664297493,16.8948277490844,8.10951731956049
"27",9,7661,8.737,0.1704,16.944,8.9967,0.8967,0.5753,0.213471220811426,0.009495,0.001121,"tm13","m10",18,21.6,6.8016,78.4444444444444,13,2,1,465,0.052,0.7,0.195,6,6,36,0.964555818459255,7.31674745854167,24.7,1,65,2.96146664297493,15.6831981218703,8.46892698580996
"28",10,7956,8.83,0.1774,17.594,9.3363,0.8995,0.5976,0.228393785915978,0.008899,0.001083,"tm13","m10",18,21.6,6.8016,81.4537037037037,13,2,1,465,0.052,0.7,0.195,6,6,36,0.964921108622728,7.88122683909722,24.7,1,65,2.96146664297493,14.5599159043041,8.73594954258246
"29",11,8261,8.933,0.1845,18.27,9.6863,0.9022,0.6155,0.24193405025295,0.008348,0.001045,"tm13","m10",18,21.6,6.8016,84.5833333333333,13,2,1,465,0.052,0.7,0.195,6,6,36,0.965281819231299,8.4876719455787,24.7,1,65,2.96146664297493,13.5196082902066,8.92294147153637
