"","V","rpm","thrust","Q","Volts","Amps","effmot","effprop","adv","CT","CP","prop","motor","capacity","Volts100","vmass","throttle","Prop_diam","struct_mass","payload","motor_Kv","motor_IR","motor_I0","motor_mass","batt_ser","batt_par","total_batt","effesc","I_batt","thrust0","C_d","hover_throttle","t2wr","endur","range"
"1",0,2069,21.97807875,0.6246,19.884,7.8681,0.865,0,0,0.01522,0.001216,"tm28","m1",15,32.4,17.923,61.3703703703704,28,2,4,105,0.023,1,1.075,9,5,45,0.968222352233974,4.98716240125,58.6,2,65,2.6662931126316,19.1742302147675,0
"2",1,2145,21.99,0.6585,20.62,8.2407,0.8706,0.1486,0.0393327400229442,0.01416,0.001193,"tm28","m1",15,32.4,17.923,63.641975308642,28,2,4,105,0.023,1,1.075,9,5,45,0.96847364654986,5.41526790939815,58.6,2,65,2.6662931126316,17.6584061213377,1.05950436728026
"3",2,2232,22.02,0.6943,21.46,8.634,0.876,0.2713,0.0755867192453704,0.01309,0.001161,"tm28","m1",15,32.4,17.923,66.2345679012346,28,2,4,105,0.023,1,1.075,9,5,45,0.968809393749238,5.90280464814815,58.6,2,65,2.6662931126316,16.1999262553945,1.94399115064734
"4",3,2330,22.07,0.7319,22.398,9.0475,0.8812,0.3707,0.108636273961135,0.01205,0.001124,"tm28","m1",15,32.4,17.923,69.1296296296296,28,2,4,105,0.023,1,1.075,9,5,45,0.969208650526892,6.45320616705247,58.6,2,65,2.6662931126316,14.8182155543431,2.66727879978177
"5",0,2093,22.4967825,0.639,20.117,8.0257,0.8674,0,0,0.01522,0.001216,"tm28","m1",18,32.4,18.346,62.0895061728395,28,2,4,105,0.023,1,1.075,9,6,54,0.96821150394285,5.14672411618827,58.6,2,65,2.6048169332659,22.2957355804385,0
"6",1,2169,22.51,0.6732,20.852,8.4024,0.8728,0.1472,0.0388929170514416,0.01418,0.001192,"tm28","m1",18,32.4,18.346,64.358024691358,28,2,4,105,0.023,1,1.075,9,6,54,0.968449681673023,5.58378898666667,58.6,2,65,2.6048169332659,20.5505616838329,1.23303370102997
"7",2,2256,22.54,0.7094,21.69,8.7998,0.8781,0.2689,0.0747699051554371,0.01312,0.001161,"tm28","m1",18,32.4,18.346,66.9444444444444,28,2,4,105,0.023,1,1.075,9,6,54,0.968771089976904,6.08087636302469,58.6,2,65,2.6048169332659,18.8706352751632,2.26447623301959
"8",3,2353,22.58,0.7473,22.625,9.2175,0.8832,0.3679,0.107536716532379,0.01209,0.001125,"tm28","m1",18,32.4,18.346,69.8302469135803,28,2,4,105,0.023,1,1.075,9,6,54,0.969155164419048,6.64145767939815,58.6,2,65,2.6048169332659,17.2778335027196,3.11001003048954
"9",4,2460,22.65,0.7866,23.65,9.6486,0.8879,0.4472,0.137193351182266,0.01109,0.001083,"tm28","m1",18,32.4,18.346,72.9938271604938,28,2,4,105,0.023,1,1.075,9,6,54,0.969594897921951,7.26373707462963,58.6,2,65,2.6048169332659,15.7976533044942,3.79143679307862
"10",5,2576,22.74,0.8267,24.761,10.0896,0.8924,0.51,0.163771225031636,0.01016,0.001039,"tm28","m1",18,32.4,18.346,76.4228395061728,28,2,4,105,0.023,1,1.075,9,6,54,0.970080721873888,7.9485744237037,58.6,2,65,2.6048169332659,14.4365509943268,4.33096529829803
"11",6,2700,22.85,0.8675,25.953,10.5385,0.8967,0.559,0.187490249566239,0.009292,0.000992,"tm28","m1",18,32.4,18.346,80.1018518518518,28,2,4,105,0.023,1,1.075,9,6,54,0.970600197276463,8.69723051890432,58.6,2,65,2.6048169332659,13.1938551876461,4.74978786755261
"12",7,2832,22.98,0.9089,27.222,10.9938,0.9006,0.5968,0.20853892034529,0.008492,0.0009447,"tm28","m1",18,32.4,18.346,84.0185185185185,28,2,4,105,0.023,1,1.075,9,6,54,0.971142906985829,9.51129624944444,58.6,2,65,2.6048169332659,12.0646016053493,5.0671326742467
"13",0,2117,23.01548625,0.6533,20.347,8.1833,0.8697,0,0,0.01522,0.001215,"tm28","m1",21,32.4,18.769,62.7993827160494,28,2,4,105,0.023,1,1.075,9,7,63,0.968196364897778,5.30787149396605,58.6,2,65,2.54611175116928,25.221974599835,0
"14",1,2193,23.03,0.6879,21.082,8.5641,0.875,0.1458,0.038484510006475,0.01419,0.001192,"tm28","m1",21,32.4,18.769,65.0679012345679,28,2,4,105,0.023,1,1.075,9,7,63,0.968423344597613,5.75417781976852,58.6,2,65,2.54611175116928,23.2657043618067,1.3959422617084
"15",2,2280,23.05,0.7244,21.918,8.9656,0.8801,0.2666,0.0740159229185755,0.01315,0.001162,"tm28","m1",21,32.4,18.769,67.6481481481481,28,2,4,105,0.023,1,1.075,9,7,63,0.968730829136001,6.26083344098765,58.6,2,65,2.54611175116928,21.3829358761668,2.56595230514002
"16",3,2377,23.1,0.7628,22.851,9.3873,0.885,0.3651,0.106499990956694,0.01212,0.001126,"tm28","m1",21,32.4,18.769,70.5277777777778,28,2,4,105,0.023,1,1.075,9,7,63,0.96910184729871,6.83174230013889,58.6,2,65,2.54611175116928,19.5960260382301,3.52728468688143
"17",4,2483,23.17,0.8024,23.872,9.8225,0.8897,0.4443,0.135905298194294,0.01114,0.001085,"tm28","m1",21,32.4,18.769,73.679012345679,28,2,4,105,0.023,1,1.075,9,7,63,0.969526638934382,7.46459220100309,58.6,2,65,2.54611175116928,17.9346702934435,4.30432087042644
"18",5,2598,23.26,0.8429,24.978,10.2677,0.8941,0.5072,0.16235750833752,0.01021,0.001041,"tm28","m1",21,32.4,18.769,77.0925925925926,28,2,4,105,0.023,1,1.075,9,7,63,0.969997380642032,8.16047165445988,58.6,2,65,2.54611175116928,16.405301760571,4.92159052817129
"19",6,2721,23.37,0.884,26.165,10.7206,0.8982,0.5565,0.185982285092516,0.009351,0.0009948,"tm28","m1",21,32.4,18.769,80.7561728395062,28,2,4,105,0.023,1,1.075,9,7,63,0.970503589917445,8.92067412771605,58.6,2,65,2.54611175116928,15.0072738991841,5.40261860370628
"20",7,2853,23.5,0.9258,27.428,11.18,0.902,0.5946,0.206999539945031,0.008555,0.000948,"tm28","m1",21,32.4,18.769,84.6543209876543,28,2,4,105,0.023,1,1.075,9,7,63,0.971033271732127,9.74668259259259,58.6,2,65,2.54611175116928,13.7354426727453,5.76888592255302
"21",8,2992,23.64,0.9681,28.762,11.6452,0.9056,0.6236,0.225597768454283,0.007828,0.0009014,"tm28","m1",21,32.4,18.769,88.7716049382716,28,2,4,105,0.023,1,1.075,9,7,63,0.971575619876866,10.6400682837037,58.6,2,65,2.54611175116928,12.5821560943403,6.03943492528337
"22",9,3137,23.81,1.011,30.159,12.1164,0.909,0.6451,0.241996882106022,0.007169,0.000856,"tm28","m1",21,32.4,18.769,93.0833333333333,28,2,4,105,0.023,1,1.075,9,7,63,0.972117733291817,11.6018344422222,58.6,2,65,2.54611175116928,11.5391234607514,6.23112666880575
"23",10,3289,24,1.054,31.615,12.5938,0.9122,0.6607,0.256479624239071,0.006574,0.0008123,"tm28","m1",21,32.4,18.769,97.5771604938272,28,2,4,105,0.023,1,1.075,9,7,63,0.972652811709614,12.6341817864815,58.6,2,65,2.54611175116928,10.5962540560597,6.35775243363582
"24",0,2140,23.53419,0.6676,20.575,8.3408,0.8719,0,0,0.01523,0.001215,"tm28","m1",24,32.4,19.192,63.5030864197531,28,2,4,105,0.023,1,1.075,9,8,72,0.968178798037197,5.4707513145679,58.6,2,65,2.48999434439851,27.9669082366403,0
"25",1,2216,23.54,0.7026,21.309,8.7256,0.8771,0.1444,0.0380761029615083,0.0142,0.001192,"tm28","m1",24,32.4,19.192,65.7685185185185,28,2,4,105,0.023,1,1.075,9,8,72,0.968393708917457,5.92599662617284,58.6,2,65,2.48999434439851,25.818441968775,1.5491065181265
"26",2,2303,23.57,0.7395,22.144,9.1312,0.882,0.2644,0.073261940681714,0.01317,0.001162,"tm28","m1",24,32.4,19.192,68.3456790123457,28,2,4,105,0.023,1,1.075,9,8,72,0.968689085099756,6.44250125037037,58.6,2,65,2.48999434439851,23.7485402104042,2.8498248252485
"27",3,2400,23.62,0.7782,23.073,9.5569,0.8868,0.3624,0.105463265381009,0.01216,0.001126,"tm28","m1",24,32.4,19.192,71.212962962963,28,2,4,105,0.023,1,1.075,9,8,72,0.969044787609599,7.02315490927469,58.6,2,65,2.48999434439851,21.7850812030289,3.9213146165452
