"","V","rpm","thrust","Q","Volts","Amps","effmot","effprop","adv","CT","CP","prop","motor","capacity","Volts100","vmass","throttle","Prop_diam","struct_mass","payload","motor_Kv","motor_IR","motor_I0","motor_mass","batt_ser","batt_par","total_batt","effesc","I_batt","thrust0","C_d","hover_throttle","t2wr","endur","range"
"1",0,5839,8.875107,0.1259,12.913,6.8316,0.8728,0,0,0.0166,0.001427,"tm13","m10",12,21.6,7.2376,59.7824074074074,13,2,2,465,0.052,0.7,0.195,6,4,24,0.961691707540861,4.24678190777778,24.7,1,65,2.78306503797644,18.0136398951625,0
"2",1,5995,8.88,0.1306,13.259,7.0584,0.8759,0.1083,0.0303163691071415,0.01576,0.001404,"tm13","m10",12,21.6,7.2376,61.3842592592593,13,2,2,465,0.052,0.7,0.195,6,4,24,0.961862119796412,4.50454016888889,24.7,1,65,2.78306503797644,16.9828655382753,1.01897193229652
"3",2,6169,8.895,0.1357,13.646,7.3058,0.879,0.203,0.0589048622548086,0.01491,0.001377,"tm13","m10",12,21.6,7.2376,63.1759259259259,13,2,2,465,0.052,0.7,0.195,6,4,24,0.962063833492314,4.79750577416667,24.7,1,65,2.78306503797644,15.9457859148253,1.91349430977904
"4",0,5951,9.2209095,0.1307,13.164,7.0635,0.8758,0,0,0.01661,0.001426,"tm13","m10",15,21.6,7.5196,60.9444444444444,13,2,2,465,0.052,0.7,0.195,6,5,30,0.961579549999178,4.47681196354167,24.7,1,65,2.67869454743049,21.360066220952,0
"5",1,6106,9.226,0.1354,13.51,7.2945,0.8787,0.1065,0.0297508824294953,0.01578,0.001403,"tm13","m10",15,21.6,7.5196,62.5462962962963,13,2,2,465,0.052,0.7,0.195,6,5,30,0.961735252295333,4.74396625520833,24.7,1,65,2.67869454743049,20.157183853282,1.20943103119692
"6",2,6279,9.241,0.1406,13.895,7.5462,0.8816,0.1999,0.057868136679124,0.01495,0.001378,"tm13","m10",15,21.6,7.5196,64.3287037037037,13,2,2,465,0.052,0.7,0.195,6,5,30,0.961917216275958,5.04655967972222,24.7,1,65,2.67869454743049,18.948552294791,2.27382627537491
"7",3,6468,9.265,0.1461,14.316,7.813,0.8846,0.2809,0.0842889308958141,0.01413,0.001349,"tm13","m10",15,21.6,7.5196,66.2777777777778,13,2,2,465,0.052,0.7,0.195,6,5,30,0.962132336880732,5.38208994675926,24.7,1,65,2.67869454743049,17.7672615927906,3.1981070867023
"8",4,6673,9.299,0.1518,14.771,8.0943,0.8875,0.3506,0.108919017299958,0.01332,0.001318,"tm13","m10",15,21.6,7.5196,68.3842592592593,13,2,2,465,0.052,0.7,0.195,6,5,30,0.962373232850214,5.75164282243056,24.7,1,65,2.67869454743049,16.6256846873517,3.99016432496441
"9",5,6893,9.343,0.1579,15.259,8.3892,0.8904,0.4099,0.131821227744628,0.01254,0.001284,"tm13","m10",15,21.6,7.5196,70.6435185185185,13,2,2,465,0.052,0.7,0.195,6,5,30,0.962636408714513,6.15645325888889,24.7,1,65,2.67869454743049,15.5324820929865,4.65974462789595
"10",6,7128,9.397,0.1642,15.781,8.6964,0.8932,0.46,0.152964146303287,0.0118,0.001249,"tm13","m10",15,21.6,7.5196,73.0601851851852,13,2,2,465,0.052,0.7,0.195,6,5,30,0.96292427306265,6.59824050777778,24.7,1,65,2.67869454743049,14.4924999152851,5.21729996950263
"11",7,7377,9.461,0.1708,16.333,9.0149,0.8959,0.502,0.172410604829008,0.01109,0.001212,"tm13","m10",15,21.6,7.5196,75.6157407407407,13,2,2,465,0.052,0.7,0.195,6,5,30,0.963226883778506,7.07692395928241,24.7,1,65,2.67869454743049,13.5122265761488,5.6751351619825
"12",8,7640,9.535,0.1775,16.916,9.3441,0.8985,0.5371,0.190254851101398,0.01042,0.001175,"tm13","m10",15,21.6,7.5196,78.3148148148148,13,2,2,465,0.052,0.7,0.195,6,5,30,0.963544952282709,7.59467899631944,24.7,1,65,2.67869454743049,12.5910522414893,6.04370507591489
"13",0,6059,9.566712,0.1354,13.41,7.2952,0.8785,0,0,0.01662,0.001425,"tm13","m10",18,21.6,7.8016,62.0833333333333,13,2,2,465,0.052,0.7,0.195,6,6,36,0.961458491664492,4.71065924592593,24.7,1,65,2.58186929845907,24.3596477710085,0
"14",1,6214,9.572,0.1403,13.756,7.5304,0.8812,0.1049,0.029248227604921,0.01581,0.001403,"tm13","m10",18,21.6,7.8016,63.6851851851852,13,2,2,465,0.052,0.7,0.195,6,6,36,0.961600299748625,4.98725841333333,24.7,1,65,2.58186929845907,23.0086332990523,1.38051799794314
"15",2,6387,9.586,0.1455,14.14,7.7863,0.884,0.197,0.0568942429565112,0.01499,0.001378,"tm13","m10",18,21.6,7.8016,65.462962962963,13,2,2,465,0.052,0.7,0.195,6,6,36,0.961766385312589,5.29977213076389,24.7,1,65,2.58186929845907,21.6518743011429,2.59822491613715
"16",3,6575,9.611,0.1511,14.559,8.0573,0.8868,0.2771,0.0829066301282346,0.01418,0.00135,"tm13","m10",18,21.6,7.8016,67.4027777777778,13,2,2,465,0.052,0.7,0.195,6,6,36,0.961963809572263,5.64558038446759,24.7,1,65,2.58186929845907,20.3256338915492,3.65861410047886
"17",4,6779,9.645,0.1569,15.012,8.3426,0.8896,0.3463,0.10722255726702,0.01339,0.001319,"tm13","m10",18,21.6,7.8016,69.5,13,2,2,465,0.052,0.7,0.195,6,6,36,0.96218865230135,6.02595653787037,24.7,1,65,2.58186929845907,19.0426199191529,4.5702287805967
