"","V","rpm","thrust","Q","Volts","Amps","effmot","effprop","adv","CT","CP","prop","motor","capacity","Volts100","vmass","throttle","Prop_diam","struct_mass","payload","motor_Kv","motor_IR","motor_I0","motor_mass","batt_ser","batt_par","total_batt","effesc","I_batt","thrust0","C_d","hover_throttle","t2wr","endur","range"
"1",0,4254,4.67765325,0.06782,9.355,4.0024,0.8067,0,0,0.01649,0.001448,"tm13","m10",9,18,3.8146,51.9722222222222,13,1,0,465,0.052,0.7,0.195,5,3,15,0.96452049258077,2.156653216,17.17,2,65,3.67064403501906,26.6037207903155,0
"2",1,4416,4.687,0.07133,9.713,4.1732,0.8137,0.1421,0.0411548637620263,0.01533,0.001413,"tm13","m10",9,18,3.8146,53.9611111111111,13,1,0,465,0.052,0.7,0.195,5,3,15,0.964964046073481,2.33366735066667,17.17,2,65,3.67064403501906,24.5857662548218,1.47514597528931
"3",2,4606,4.717,0.07539,10.133,4.3712,0.821,0.2594,0.0788853915316397,0.01418,0.001373,"tm13","m10",9,18,3.8146,56.2944444444444,13,1,0,465,0.052,0.7,0.195,5,3,15,0.965455868957921,2.54878843733333,17.17,2,65,3.67064403501906,22.5106953404216,2.7012834408506
"4",3,4823,4.766,0.07996,10.612,4.5934,0.8285,0.354,0.113003087749625,0.01307,0.001328,"tm13","m10",9,18,3.8146,58.9555555555556,13,1,0,465,0.052,0.7,0.195,5,3,15,0.965985688628914,2.803420921,17.17,2,65,3.67064403501906,20.4660668578923,3.68389203442061
"5",4,5066,4.834,0.085,11.146,4.8393,0.836,0.4288,0.143476536489446,0.01202,0.00128,"tm13","m10",9,18,3.8146,61.9222222222222,13,1,0,465,0.052,0.7,0.195,5,3,15,0.966530855756152,3.10036879025,17.17,2,65,3.67064403501906,18.5058629736024,4.44140711366458
"6",5,5332,4.923,0.09051,11.733,5.1072,0.8434,0.487,0.17039998553071,0.01104,0.00123,"tm13","m10",9,18,3.8146,65.1833333333333,13,1,0,465,0.052,0.7,0.195,5,3,15,0.967083073697121,3.442354944,17.17,2,65,3.67064403501906,16.6673689765793,5.00021069297379
"7",6,5621,5.03,0.09646,12.369,5.3969,0.8505,0.5316,0.193961930432634,0.01016,0.001179,"tm13","m10",9,18,3.8146,68.7166666666667,13,1,0,465,0.052,0.7,0.195,5,3,15,0.967624969245892,3.83265201002778,17.17,2,65,3.67064403501906,14.9700520292173,5.38921873051822
"8",0,4382,4.965822,0.07183,9.641,4.1979,0.8144,0,0,0.0165,0.001446,"tm13","m10",12,18,4.0496,53.5611111111111,13,1,0,465,0.052,0.7,0.195,5,4,20,0.964592424432673,2.33097609558333,17.17,2,65,3.45763500987349,32.8188693762025,0
"9",1,4543,4.976,0.07544,9.998,4.3735,0.8208,0.1386,0.0399924744801981,0.01537,0.001412,"tm13","m10",12,18,4.0496,55.5444444444444,13,1,0,465,0.052,0.7,0.195,5,4,20,0.964995041346244,2.51735622847222,17.17,2,65,3.45763500987349,30.3890244593741,1.82334146756244
"10",2,4733,5.005,0.0796,10.416,4.5762,0.8277,0.2537,0.0767805244537345,0.01425,0.001373,"tm13","m10",12,18,4.0496,57.8666666666667,13,1,0,465,0.052,0.7,0.195,5,4,20,0.965444752479653,2.742875129,17.17,2,65,3.45763500987349,27.8904421098785,3.34685305318542
"11",3,4948,5.054,0.08426,10.89,4.803,0.8347,0.3473,0.110175654361394,0.01317,0.00133,"tm13","m10",12,18,4.0496,60.5,13,1,0,465,0.052,0.7,0.195,5,4,20,0.965926477827597,3.008319025,17.17,2,65,3.45763500987349,25.4294838294286,4.57730708929715
"12",4,5187,5.123,0.0894,11.418,5.0532,0.8416,0.4219,0.140115032350105,0.01214,0.001284,"tm13","m10",12,18,4.0496,63.4333333333333,13,1,0,465,0.052,0.7,0.195,5,4,20,0.966426456622535,3.316768884,17.17,2,65,3.45763500987349,23.0646157979333,5.53550779150399
"13",5,5451,5.211,0.09499,11.998,5.3256,0.8485,0.4805,0.166692906199474,0.01119,0.001235,"tm13","m10",12,18,4.0496,66.6555555555556,13,1,0,465,0.052,0.7,0.195,5,4,20,0.966934982124839,3.67119644266667,17.17,2,65,3.45763500987349,20.8378933665648,6.25136800996944
"14",6,5736,5.319,0.101,12.627,5.6194,0.8552,0.5259,0.190097771468718,0.01031,0.001186,"tm13","m10",12,18,4.0496,70.15,13,1,0,465,0.052,0.7,0.195,5,4,20,0.967440164205097,4.07468001211111,17.17,2,65,3.45763500987349,18.7744803941954,6.75881294191035
"15",7,6041,5.446,0.1075,13.299,5.9344,0.8616,0.5606,0.210580955570124,0.00952,0.001138,"tm13","m10",12,18,4.0496,73.8833333333333,13,1,0,465,0.052,0.7,0.195,5,4,20,0.967923654921643,4.52983302044445,17.17,2,65,3.45763500987349,16.8880397256882,7.09297668478905
"16",8,6364,5.593,0.1144,14.012,6.2708,0.8677,0.5869,0.228425201842514,0.008809,0.001091,"tm13","m10",12,18,4.0496,77.8444444444444,13,1,0,465,0.052,0.7,0.195,5,4,20,0.968379091526061,5.04086619066667,17.17,2,65,3.45763500987349,15.1759632385486,7.28446235450334
"17",9,6703,5.76,0.1218,14.76,6.6287,0.8735,0.6065,0.243976085477783,0.008176,0.001047,"tm13","m10",12,18,4.0496,82,13,1,0,465,0.052,0.7,0.195,5,4,20,0.968794130262772,5.61061822136111,17.17,2,65,3.45763500987349,13.6348610762258,7.36282498116195
"18",10,7057,5.946,0.1296,15.541,7.0084,0.879,0.621,0.257484933888219,0.007615,0.001005,"tm13","m10",12,18,4.0496,86.3388888888889,13,1,0,465,0.052,0.7,0.195,5,4,20,0.969167006539274,6.24347986266667,17.17,2,65,3.45763500987349,12.2527823718047,7.35166942308284
"19",11,7424,6.152,0.1378,16.351,7.4104,0.8842,0.6316,0.269234490412645,0.007119,0.000966,"tm13","m10",12,18,4.0496,90.8388888888889,13,1,0,465,0.052,0.7,0.195,5,4,20,0.969492787651967,6.94334718933333,17.17,2,65,3.45763500987349,11.0177408552351,7.2717089644552
"20",0,4506,5.25399075,0.07584,9.918,4.3932,0.8213,0,0,0.01651,0.001443,"tm13","m10",15,18,4.2846,55.1,13,1,0,465,0.052,0.7,0.195,5,5,25,0.964630225080386,2.509410484,17.17,2,65,3.26799204966244,38.1065595324898,0
"21",1,4667,5.264,0.07955,10.275,4.5734,0.8273,0.1354,0.0389243329779775,0.01541,0.001411,"tm13","m10",15,18,4.2846,57.0833333333333,13,1,0,465,0.052,0.7,0.195,5,5,25,0.964999854428246,2.70533633211111,17.17,2,65,3.26799204966244,35.3468065559815,2.12080839335889
"22",2,4855,5.293,0.0838,10.69,4.7807,0.8337,0.2485,0.0748641529350448,0.01432,0.001373,"tm13","m10",15,18,4.2846,59.3888888888889,13,1,0,465,0.052,0.7,0.195,5,5,25,0.965408309465291,2.94093657913889,17.17,2,65,3.26799204966244,32.5151520363622,3.90181824436347
"23",3,5068,5.342,0.08855,11.16,5.0119,0.8402,0.341,0.107568132458915,0.01326,0.001332,"tm13","m10",15,18,4.2846,62,13,1,0,465,0.052,0.7,0.195,5,5,25,0.965849517010332,3.21724859336111,17.17,2,65,3.26799204966244,29.7226021630175,5.35006838934315
"24",4,5306,5.411,0.09378,11.684,5.2665,0.8468,0.4154,0.137004855623051,0.01226,0.001287,"tm13","m10",15,18,4.2846,64.9111111111111,13,1,0,465,0.052,0.7,0.195,5,5,25,0.966312624960457,3.53772017291667,17.17,2,65,3.26799204966244,27.0301197737644,6.48722874570346
"25",5,5566,5.499,0.09946,12.258,5.5431,0.8532,0.4743,0.163237154280526,0.01132,0.00124,"tm13","m10",15,18,4.2846,68.1,13,1,0,465,0.052,0.7,0.195,5,5,25,0.966783669731934,3.90454578225,17.17,2,65,3.26799204966244,24.4906847896904,7.34720543690713
"26",6,5847,5.607,0.1056,12.879,5.841,0.8594,0.5204,0.186453523990554,0.01046,0.001193,"tm13","m10",15,18,4.2846,71.55,13,1,0,465,0.052,0.7,0.195,5,5,25,0.967251343404644,4.320733725,17.17,2,65,3.26799204966244,22.1316577429219,7.96739678745188
"27",7,6149,5.734,0.1121,13.544,6.16,0.8654,0.5559,0.206873876238888,0.009673,0.001146,"tm13","m10",15,18,4.2846,75.2444444444445,13,1,0,465,0.052,0.7,0.195,5,5,25,0.967705058588168,4.78974222222222,17.17,2,65,3.26799204966244,19.9645399613248,8.3851067837564
"28",8,6468,5.881,0.1191,14.248,6.5002,0.8711,0.5832,0.224749538437814,0.008966,0.0011,"tm13","m10",15,18,4.2846,79.1555555555556,13,1,0,465,0.052,0.7,0.195,5,5,25,0.968131434306289,5.31463935566667,17.17,2,65,3.26799204966244,17.9927542774922,8.63652205319627
"29",9,6804,6.048,0.1265,14.989,6.8616,0.8766,0.6037,0.240363253926155,0.008333,0.001056,"tm13","m10",15,18,4.2846,83.2722222222222,13,1,0,465,0.052,0.7,0.195,5,5,25,0.968526913792123,5.899481696,17.17,2,65,3.26799204966244,16.2090510535589,8.75288756892178
"30",10,7154,6.234,0.1344,15.761,7.2447,0.8818,0.6192,0.253997766042735,0.00777,0.001015,"tm13","m10",15,18,4.2846,87.5611111111111,13,1,0,465,0.052,0.7,0.195,5,5,25,0.968880083185618,6.54729096691667,17.17,2,65,3.26799204966244,14.6052772792887,8.76316636757321
"31",11,7517,6.44,0.1427,16.562,7.6498,0.8867,0.6306,0.26590440219984,0.00727,0.0009759,"tm13","m10",15,18,4.2846,92.0111111111111,13,1,0,465,0.052,0.7,0.195,5,5,25,0.969190373169309,7.26241837788889,17.17,2,65,3.26799204966244,13.167101511411,8.69028699753128
"32",12,7891,6.665,0.1515,17.389,8.0772,0.8913,0.6389,0.276334489809758,0.006828,0.00094,"tm13","m10",15,18,4.2846,96.6055555555556,13,1,0,465,0.052,0.7,0.195,5,5,25,0.969456192443939,8.04886697733333,17.17,2,65,3.26799204966244,11.8805541536831,8.55399899065181
"33",0,4627,5.5421595,0.07985,10.188,4.5883,0.8276,0,0,0.01651,0.001441,"tm13","m10",18,18,4.5196,56.6,13,1,0,465,0.052,0.7,0.195,5,6,30,0.964643468701874,2.69216335802778,17.17,2,65,3.09807034604471,42.6237136234049,0
"34",1,4788,5.552,0.08364,10.544,4.773,0.8333,0.1324,0.0379504392553647,0.01545,0.00141,"tm13","m10",18,18,4.5196,58.5777777777778,13,1,0,465,0.052,0.7,0.195,5,6,30,0.964980117419337,2.89738335833333,17.17,2,65,3.09807034604471,39.6047004515163,2.37628202709098
"35",2,4975,5.581,0.08799,10.957,4.9847,0.8392,0.2435,0.0730420291959627,0.01439,0.001374,"tm13","m10",18,18,4.5196,60.8722222222222,13,1,0,465,0.052,0.7,0.195,5,6,30,0.965354461823918,3.14319535580556,17.17,2,65,3.09807034604471,36.507434954068,4.38089219448816
"36",3,5186,5.63,0.09283,11.424,5.2202,0.8453,0.3351,0.105117690189114,0.01335,0.001333,"tm13","m10",18,18,4.5196,63.4666666666667,13,1,0,465,0.052,0.7,0.195,5,6,30,0.965761293633195,3.43054433344444,17.17,2,65,3.09807034604471,33.4495021333204,6.02091038399766
"37",4,5421,5.699,0.09814,11.943,5.4791,0.8514,0.4092,0.134083174455212,0.01237,0.00129,"tm13","m10",18,18,4.5196,66.35,13,1,0,465,0.052,0.7,0.195,5,6,30,0.966187483086865,3.76260603002778,17.17,2,65,3.09807034604471,30.4974794289459,7.31939506294702
"38",5,5678,5.787,0.1039,12.511,5.7598,0.8574,0.4683,0.160001313847328,0.01145,0.001245,"tm13","m10",18,18,4.5196,69.5055555555555,13,1,0,465,0.052,0.7,0.195,5,6,30,0.966623631788327,4.141612989,17.17,2,65,3.09807034604471,27.7065965131876,8.31197895395629
"39",6,5957,5.895,0.1101,13.126,6.0618,0.8633,0.5149,0.183029187998141,0.0106,0.001199,"tm13","m10",18,18,4.5196,72.9222222222222,13,1,0,465,0.052,0.7,0.195,5,6,30,0.967060558796855,4.57096427566667,17.17,2,65,3.09807034604471,25.1041121915712,9.03748038896563
"40",7,6255,6.022,0.1167,13.783,6.3848,0.8689,0.5513,0.203355292466867,0.009818,0.001153,"tm13","m10",18,18,4.5196,76.5722222222222,13,1,0,465,0.052,0.7,0.195,5,6,30,0.9674833499927,5.05329961955556,17.17,2,65,3.09807034604471,22.7079351392373,9.53733275847966
"41",8,6571,6.169,0.1238,14.48,6.7286,0.8743,0.5794,0.221230954665793,0.009115,0.001108,"tm13","m10",18,18,4.5196,80.4444444444444,13,1,0,465,0.052,0.7,0.195,5,6,30,0.96788661823223,5.592374961,17.17,2,65,3.09807034604471,20.5190104026002,9.8491249932481
"42",9,6902,6.336,0.1313,15.213,7.0936,0.8795,0.6008,0.236938917933742,0.008482,0.001065,"tm13","m10",18,18,4.5196,84.5166666666667,13,1,0,465,0.052,0.7,0.195,5,6,30,0.96826055520479,6.19179851377778,17.17,2,65,3.09807034604471,18.5325797899693,10.0075930865834
"43",10,7249,6.522,0.1392,15.977,7.48,0.8844,0.6171,0.25066767782993,0.007917,0.001024,"tm13","m10",18,18,4.5196,88.7611111111111,13,1,0,465,0.052,0.7,0.195,5,6,30,0.968596544407396,6.85458888888889,17.17,2,65,3.09807034604471,16.7406101022348,10.0443660613409
"44",11,7608,6.728,0.1476,16.771,7.8882,0.889,0.6293,0.262731393619714,0.007414,0.0009853,"tm13","m10",18,18,4.5196,93.1722222222222,13,1,0,465,0.052,0.7,0.195,5,6,30,0.968894953669709,7.58556044233334,17.17,2,65,3.09807034604471,15.1274254384166,9.98410078935496
"45",12,7978,6.953,0.1565,17.59,8.3185,0.8933,0.6383,0.273287144935776,0.006967,0.0009495,"tm13","m10",18,18,4.5196,97.7222222222222,13,1,0,465,0.052,0.7,0.195,5,6,30,0.96915001026175,8.38778617291667,17.17,2,65,3.09807034604471,13.6806062570499,9.8500365050759
