"","V","rpm","thrust","Q","Volts","Amps","effmot","effprop","adv","CT","CP","prop","motor","capacity","Volts100","vmass","throttle","Prop_diam","struct_mass","payload","motor_Kv","motor_IR","motor_I0","motor_mass","batt_ser","batt_par","total_batt","effesc","I_batt","thrust0","C_d","hover_throttle","t2wr","endur","range"
"1",0,5426,7.648857,0.109,11.982,6.0084,0.8605,0,0,0.01657,0.00143,"tm13","m10",12,21.6,6.2376,55.4722222222222,13,2,1,465,0.052,0.7,0.195,6,4,24,0.962006291338089,3.46462703,24.7,2,65,3.22924065647978,22.0802987847151,0
"2",1,5585,7.659,0.1134,12.333,6.2229,0.8642,0.1155,0.0325468998911903,0.01566,0.001405,"tm13","m10",12,21.6,6.2376,57.0972222222222,13,2,1,465,0.052,0.7,0.195,6,4,24,0.962241782265587,3.692526251875,24.7,2,65,3.22924065647978,20.7175236631438,1.24305141978863
"3",2,5766,7.688,0.1184,12.735,6.4648,0.8682,0.2151,0.0630203486310113,0.01475,0.001376,"tm13","m10",12,21.6,6.2376,58.9583333333333,13,2,1,465,0.052,0.7,0.195,6,4,24,0.962509371901226,3.96000126814815,24.7,2,65,3.22924065647978,19.3181756317402,2.31818107580883
"4",3,5967,7.737,0.1238,13.183,6.7295,0.8722,0.3,0.0913575143663912,0.01386,0.001343,"tm13","m10",12,21.6,6.2376,61.0324074074074,13,2,1,465,0.052,0.7,0.195,6,4,24,0.962805669620279,4.26584095428241,24.7,2,65,3.22924065647978,17.9331580384409,3.22796844691936
"5",4,6189,7.806,0.1297,13.675,7.0168,0.8762,0.3714,0.117432733391186,0.013,0.001308,"tm13","m10",12,21.6,6.2376,63.3101851851852,13,2,1,465,0.052,0.7,0.195,6,4,24,0.963120411532372,4.61245449777778,24.7,2,65,3.22924065647978,16.5855294695821,3.98052707269971
"6",5,6431,7.894,0.1361,14.211,7.3258,0.8802,0.4307,0.141277421631933,0.01217,0.001271,"tm13","m10",12,21.6,6.2376,65.7916666666667,13,2,1,465,0.052,0.7,0.195,6,4,24,0.963451748430009,5.00260228342593,24.7,2,65,3.22924065647978,15.2920411549508,4.58761234648523
"7",0,5546,7.9946595,0.1138,12.252,6.2407,0.8643,0,0,0.01658,0.001429,"tm13","m10",15,21.6,6.5196,56.7222222222222,13,2,1,465,0.052,0.7,0.195,6,5,30,0.96193442091383,3.67994287891204,24.7,2,65,3.08956247605042,25.985457695004,0
"8",1,5704,8.004,0.1183,12.603,6.4598,0.8679,0.1133,0.0318557495074005,0.01569,0.001404,"tm13","m10",15,21.6,6.5196,58.3472222222222,13,2,1,465,0.052,0.7,0.195,6,5,30,0.962149939040171,3.91738720564815,24.7,2,65,3.08956247605042,24.4104028986786,1.46462417392072
"9",2,5884,8.034,0.1233,13.003,6.7062,0.8716,0.2114,0.0617637115695753,0.0148,0.001376,"tm13","m10",15,21.6,6.5196,60.1990740740741,13,2,1,465,0.052,0.7,0.195,6,5,30,0.962393171249439,4.19482434638889,24.7,2,65,3.08956247605042,22.7959485555858,2.7355138266703
"10",3,6085,8.083,0.1289,13.448,6.9754,0.8754,0.2953,0.0895982224803809,0.01392,0.001345,"tm13","m10",15,21.6,6.5196,62.2592592592593,13,2,1,465,0.052,0.7,0.195,6,5,30,0.962663847205032,4.51126567490741,24.7,2,65,3.08956247605042,21.1969338298753,3.81544808937755
"11",4,6305,8.151,0.1349,13.937,7.267,0.8792,0.3662,0.11526503446021,0.01308,0.001311,"tm13","m10",15,21.6,6.5196,64.5231481481482,13,2,1,465,0.052,0.7,0.195,6,5,30,0.962955541813634,4.86927690046296,24.7,2,65,3.08956247605042,19.6384395372767,4.71322548894641
