"","V","rpm","thrust","Q","Volts","Amps","effmot","effprop","adv","CT","CP","prop","motor","capacity","Volts100","vmass","throttle","Prop_diam","struct_mass","payload","motor_Kv","motor_IR","motor_I0","motor_mass","batt_ser","batt_par","total_batt","effesc","I_batt","thrust0","C_d","hover_throttle","t2wr","endur","range"
"1",0,4569,8.99454375,0.1423,10.222,7.6296,0.873,0,0,0.0155,0.001288,"tm15","m10",15,18,7.335,56.7888888888889,15,2,2,465,0.052,0.7,0.195,5,5,25,0.951106678030571,4.55549852266667,27.2,1,65,3.02405555590299,20.9911164550271,0
"2",1,4716,8.999,0.1487,10.556,7.9402,0.8762,0.1225,0.0333951299076595,0.01456,0.001263,"tm15","m10",15,18,7.335,58.6444444444444,15,2,2,465,0.052,0.7,0.195,5,5,25,0.951247227856873,4.89513771122222,27.2,1,65,3.02405555590299,19.5346904706639,1.17208142823983
"3",2,4881,9.014,0.1556,10.928,8.2748,0.8794,0.2267,0.0645283131047344,0.01361,0.001233,"tm15","m10",15,18,7.335,60.7111111111111,15,2,2,465,0.052,0.7,0.195,5,5,25,0.951440655978631,5.28012229733333,27.2,1,65,3.02405555590299,18.1103759752486,2.17324511702983
"4",3,5063,9.039,0.1628,11.336,8.6286,0.8825,0.3141,0.0933053018116169,0.01269,0.0012,"tm15","m10",15,18,7.335,62.9777777777778,15,2,2,465,0.052,0.7,0.195,5,5,25,0.951690938871319,5.70994249433333,27.2,1,65,3.02405555590299,16.7471038622368,3.01447869520263
"5",4,5260,9.073,0.1704,11.78,8.9995,0.8856,0.3865,0.119757511954843,0.0118,0.001163,"tm15","m10",15,18,7.335,65.4444444444444,15,2,2,465,0.052,0.7,0.195,5,5,25,0.951998044282456,6.18664377847222,27.2,1,65,3.02405555590299,15.4566843387279,3.7096042412947
"6",0,4641,9.2827125,0.1467,10.388,7.8442,0.875,0,0,0.01551,0.001287,"tm15","m10",18,18,7.57,57.7111111111111,15,2,2,465,0.052,0.7,0.195,5,6,30,0.95091544377122,4.76064933788889,27.2,1,65,2.93017800562066,24.1038547171983,0
"7",1,4788,9.288,0.1532,10.721,8.1594,0.878,0.1209,0.0328924750830851,0.01458,0.001262,"tm15","m10",18,18,7.57,59.5611111111111,15,2,2,465,0.052,0.7,0.195,5,6,30,0.95103597366089,5.110037301,27.2,1,65,2.93017800562066,22.4558047702595,1.34734828621557
"8",2,4952,9.302,0.1602,11.092,8.4985,0.8811,0.224,0.0635858353086574,0.01365,0.001233,"tm15","m10",18,18,7.57,61.6222222222222,15,2,2,465,0.052,0.7,0.195,5,6,30,0.951210988836649,5.50557617291667,27.2,1,65,2.93017800562066,20.8425051976366,2.5011006237164
"9",3,5133,9.327,0.1675,11.5,8.8568,0.8841,0.3107,0.0920486647501809,0.01274,0.001201,"tm15","m10",18,18,7.57,63.8888888888889,15,2,2,465,0.052,0.7,0.195,5,6,30,0.951448021153585,5.94726247288889,27.2,1,65,2.93017800562066,19.2945915071174,3.47302647128113
"10",4,5330,9.361,0.1752,11.942,9.2322,0.887,0.3829,0.118186715628048,0.01186,0.001165,"tm15","m10",18,18,7.57,66.3444444444444,15,2,2,465,0.052,0.7,0.195,5,6,30,0.951735031611598,6.435669169,27.2,1,65,2.93017800562066,17.8303136762747,4.27927528230592
"11",5,5542,9.405,0.1832,12.419,9.623,0.8899,0.4422,0.14206281979533,0.01102,0.001127,"tm15","m10",18,18,7.57,68.9944444444445,15,2,2,465,0.052,0.7,0.195,5,6,30,0.952074301506806,6.973547525,27.2,1,65,2.93017800562066,16.4550395030111,4.93651185090332
