"","V","rpm","thrust","Q","Volts","Amps","effmot","effprop","adv","CT","CP","prop","motor","capacity","Volts100","vmass","throttle","Prop_diam","struct_mass","payload","motor_Kv","motor_IR","motor_I0","motor_mass","batt_ser","batt_par","total_batt","effesc","I_batt","thrust0","C_d","hover_throttle","t2wr","endur","range"
"1",0,5839,8.875107,0.1259,12.913,6.8316,0.8728,0,0,0.0166,0.001427,"tm13","m10",12,21.6,7.2376,59.7824074074074,13,2,2,465,0.052,0.7,0.195,6,4,24,0.961691707540861,4.24678190777778,24.7,2,65,2.78306503797644,18.0136398951625,0
"2",1,5997,8.885,0.1306,13.263,7.0618,0.8759,0.1083,0.0303163691071415,0.01576,0.001404,"tm13","m10",12,21.6,7.2376,61.4027777777778,13,2,2,465,0.052,0.7,0.195,6,4,24,0.961861324588129,4.50807330564815,24.7,2,65,2.78306503797644,16.9695554648931,1.01817332789358
"3",2,6175,8.914,0.1359,13.66,7.3195,0.8792,0.2028,0.0588420304017368,0.01491,0.001377,"tm13","m10",12,21.6,7.2376,63.2407407407407,13,2,2,465,0.052,0.7,0.195,6,4,24,0.96205482515217,4.81147840798611,24.7,2,65,2.78306503797644,15.8994790193852,1.90793748232622
"4",0,5951,9.2209095,0.1307,13.164,7.0635,0.8758,0,0,0.01661,0.001426,"tm13","m10",15,21.6,7.5196,60.9444444444444,13,2,2,465,0.052,0.7,0.195,6,5,30,0.961579549999178,4.47681196354167,24.7,2,65,2.67869454743049,21.360066220952,0
"5",1,6107,9.231,0.1355,13.514,7.2978,0.8787,0.1065,0.0297508824294953,0.01578,0.001403,"tm13","m10",15,21.6,7.5196,62.5648148148148,13,2,2,465,0.052,0.7,0.195,6,5,30,0.961734851822094,4.74751959638889,24.7,2,65,2.67869454743049,20.1420969536883,1.2085258172213
"6",2,6285,9.26,0.1409,13.909,7.5598,0.8818,0.1997,0.0578367207525881,0.01495,0.001378,"tm13","m10",15,21.6,7.5196,64.3935185185185,13,2,2,465,0.052,0.7,0.195,6,5,30,0.961908852064933,5.06079261305556,24.7,2,65,2.67869454743049,18.8952615353792,2.26743138424551
"7",3,6482,9.309,0.1467,14.347,7.8442,0.8849,0.2804,0.0841004353365988,0.01413,0.001349,"tm13","m10",15,21.6,7.5196,66.4212962962963,13,2,2,465,0.052,0.7,0.195,6,5,30,0.962110406310082,5.41540689083333,24.7,2,65,2.67869454743049,17.657952934592,3.17843152822655
"8",4,6697,9.378,0.153,14.826,8.1506,0.888,0.3496,0.108542026181527,0.01334,0.001318,"tm13","m10",15,21.6,7.5196,68.6388888888889,13,2,2,465,0.052,0.7,0.195,6,5,30,0.962331716898184,5.81346450453704,24.7,2,65,2.67869454743049,16.4488834369541,3.94773202486899
"9",5,6930,9.466,0.1597,15.344,8.4786,0.8911,0.4083,0.131098661434302,0.01257,0.001285,"tm13","m10",15,21.6,7.5196,71.037037037037,13,2,2,465,0.052,0.7,0.195,6,5,30,0.962565704330981,6.25717932305555,24.7,2,65,2.67869454743049,15.2824451822333,4.58473355466998
"10",6,7181,9.574,0.1669,15.901,8.8273,0.8941,0.4577,0.151833172947995,0.01184,0.001251,"tm13","m10",15,21.6,7.5196,73.6157407407407,13,2,2,465,0.052,0.7,0.195,6,5,30,0.962812057887402,6.74927388909722,24.7,2,65,2.67869454743049,14.1681907670798,5.10054867614873
