"","V","rpm","thrust","Q","Volts","Amps","effmot","effprop","adv","CT","CP","prop","motor","capacity","Volts100","vmass","throttle","Prop_diam","struct_mass","payload","motor_Kv","motor_IR","motor_I0","motor_mass","batt_ser","batt_par","total_batt","effesc","I_batt","thrust0","C_d","hover_throttle","t2wr","endur","range"
"1",0,4254,4.67765325,0.06782,9.355,4.0024,0.8067,0,0,0.01649,0.001448,"tm13","m10",9,18,3.8146,51.9722222222222,13,1,0,465,0.052,0.7,0.195,5,3,15,0.96452049258077,2.156653216,17.17,1,65,3.67064403501906,26.6037207903155,0
"2",1,4414,4.683,0.07126,9.708,4.1698,0.8135,0.1422,0.0411548637620263,0.01533,0.001413,"tm13","m10",9,18,3.8146,53.9333333333333,13,1,0,465,0.052,0.7,0.195,5,3,15,0.964962939180895,2.33056840011111,17.17,1,65,3.67064403501906,24.6184578823194,1.47710747293917
"3",2,4598,4.697,0.0751,10.114,4.3572,0.8205,0.2598,0.0790424711643192,0.01417,0.001373,"tm13","m10",9,18,3.8146,56.1888888888889,13,1,0,465,0.052,0.7,0.195,5,3,15,0.965457728530164,2.53585651066667,17.17,1,65,3.67064403501906,22.6254915286655,2.71505898343986
"4",3,4804,4.722,0.0793,10.568,4.5613,0.8275,0.3551,0.113474326647663,0.01305,0.001327,"tm13","m10",9,18,3.8146,58.7111111111111,13,1,0,465,0.052,0.7,0.195,5,3,15,0.965990604260578,2.77227324913889,17.17,1,65,3.67064403501906,20.6960118443669,3.72528213198604
"5",4,5032,4.756,0.08381,11.07,4.7809,0.8344,0.4308,0.144450430212059,0.01198,0.001279,"tm13","m10",9,18,3.8146,61.5,13,1,0,465,0.052,0.7,0.195,5,3,15,0.966555182486404,3.04199238002778,17.17,1,65,3.67064403501906,18.8609939908778,4.52663855781067
"6",5,5281,4.8,0.0886,11.618,5.0142,0.8411,0.4899,0.172033613710577,0.01098,0.001227,"tm13","m10",9,18,3.8146,64.5444444444444,13,1,0,465,0.052,0.7,0.195,5,3,15,0.9671423017787,3.34634058233333,17.17,1,65,3.67064403501906,17.1455948933906,5.14367846801717
"7",6,5549,4.854,0.09365,12.207,5.2602,0.8475,0.5352,0.196475204555506,0.01005,0.001175,"tm13","m10",9,18,3.8146,67.8166666666667,13,1,0,465,0.052,0.7,0.195,5,3,15,0.967733496326703,3.686234189,17.17,1,65,3.67064403501906,15.5646649285635,5.60327937428286
"8",7,5836,4.918,0.09895,12.836,5.5183,0.8536,0.5693,0.21796369830606,0.009211,0.001123,"tm13","m10",9,18,3.8146,71.3111111111111,13,1,0,465,0.052,0.7,0.195,5,3,15,0.968322443226288,4.06389531913889,17.17,1,65,3.67064403501906,14.1182278317536,5.92965568933653
"9",0,4382,4.965822,0.07183,9.641,4.1979,0.8144,0,0,0.0165,0.001446,"tm13","m10",12,18,4.0496,53.5611111111111,13,1,0,465,0.052,0.7,0.195,5,4,20,0.964592424432673,2.33097609558333,17.17,1,65,3.45763500987349,32.8188693762025,0
"10",1,4541,4.971,0.07537,9.993,4.3701,0.8207,0.1387,0.040023890406734,0.01537,0.001412,"tm13","m10",12,18,4.0496,55.5166666666667,13,1,0,465,0.052,0.7,0.195,5,4,20,0.964993981462034,2.51414402225,17.17,1,65,3.45763500987349,30.427851118703,1.82567106712218
