"","V","rpm","thrust","Q","Volts","Amps","effmot","effprop","adv","CT","CP","prop","motor","capacity","Volts100","vmass","throttle","Prop_diam","struct_mass","payload","motor_Kv","motor_IR","motor_I0","motor_mass","batt_ser","batt_par","total_batt","effesc","I_batt","thrust0","C_d","hover_throttle","t2wr","endur","range"
"1",0,4170,7.480125,0.1191,9.307,6.4993,0.8599,0,0,0.01548,0.001293,"tm15","m10",12,18,6.1,51.7055555555556,15,1,2,465,0.052,0.7,0.195,5,4,20,0.952028776698771,3.52982940691667,27.2,1,65,3.63630286927023,21.6724354582403,0
"2",1,4319,7.485,0.125,9.641,6.7845,0.864,0.1324,0.0364738907081775,0.01444,0.001265,"tm15","m10",12,18,6.1,53.5611111111111,15,1,2,465,0.052,0.7,0.195,5,4,20,0.952270420698868,3.81598913958333,27.2,1,65,3.63630286927023,20.0472268661522,1.20283361196913
"3",2,4487,7.5,0.1313,10.017,7.094,0.8681,0.2431,0.0702145958077319,0.01341,0.001232,"tm15","m10",12,18,6.1,55.65,15,1,2,465,0.052,0.7,0.195,5,4,20,0.952575672565783,4.14435421111111,27.2,1,65,3.63630286927023,18.4588469284073,2.21506163140887
"4",3,4672,7.524,0.1381,10.434,7.423,0.8722,0.3342,0.101127867519055,0.0124,0.001195,"tm15","m10",12,18,6.1,57.9666666666667,15,1,2,465,0.052,0.7,0.195,5,4,20,0.952950685669664,4.51530780277778,27.2,1,65,3.63630286927023,16.9423665764132,3.04962598375438
"5",0,4249,7.76829375,0.1235,9.487,6.7147,0.8628,0,0,0.01548,0.001292,"tm15","m10",15,18,6.335,52.7055555555556,15,1,2,465,0.052,0.7,0.195,5,5,25,0.951866383524795,3.71797975025,27.2,1,65,3.5014123918782,25.719612914398,0
"6",1,4398,7.773,0.1295,9.822,7.005,0.8667,0.1304,0.0358141562509236,0.01446,0.001265,"tm15","m10",15,18,6.335,54.5666666666667,15,1,2,465,0.052,0.7,0.195,5,5,25,0.952090149036714,4.014740625,27.2,1,65,3.5014123918782,23.8184751972613,1.42910851183568
"7",2,4565,7.788,0.1359,10.197,7.3193,0.8706,0.2397,0.0689893746728319,0.01345,0.001232,"tm15","m10",15,18,6.335,56.65,15,1,2,465,0.052,0.7,0.195,5,5,25,0.952370723169451,4.35374938469444,27.2,1,65,3.5014123918782,21.9638273935033,2.6356592872204
"8",3,4749,7.812,0.1428,10.612,7.6533,0.8745,0.33,0.0994628234126528,0.01246,0.001196,"tm15","m10",15,18,6.335,58.9555555555556,15,1,2,465,0.052,0.7,0.195,5,5,25,0.95271740374632,4.73597471358333,27.2,1,65,3.5014123918782,20.1911973317206,3.63441551970971
"9",4,4952,7.847,0.15,11.065,8.0046,0.8782,0.4035,0.127203086543851,0.01152,0.001156,"tm15","m10",15,18,6.335,61.4722222222222,15,1,2,465,0.052,0.7,0.195,5,5,25,0.953120921887154,5.162624581,27.2,1,65,3.5014123918782,18.5225554366143,4.44541330478742
"10",5,5171,7.891,0.1575,11.555,8.3717,0.8819,0.4625,0.152272995919497,0.01062,0.001113,"tm15","m10",15,18,6.335,64.1944444444444,15,1,2,465,0.052,0.7,0.195,5,5,25,0.953572844754132,5.63582146358333,27.2,1,65,3.5014123918782,16.9673579296106,5.09020737888317
"11",6,5406,7.945,0.1654,12.081,8.7535,0.8854,0.5091,0.174798215245736,0.009783,0.001069,"tm15","m10",15,18,6.335,67.1166666666667,15,1,2,465,0.052,0.7,0.195,5,5,25,0.954063813530711,6.15792920069444,27.2,1,65,3.5014123918782,15.5287592441329,5.59035332788786
"12",7,5656,8.008,0.1735,12.639,9.1489,0.8887,0.5455,0.194904408228711,0.009008,0.001024,"tm15","m10",15,18,6.335,70.2166666666667,15,1,2,465,0.052,0.7,0.195,5,5,25,0.954575167224365,6.72975040336111,27.2,1,65,3.5014123918782,14.209293698655,5.9679033534351
"13",0,4327,8.0564625,0.1279,9.665,6.93,0.8655,0,0,0.01549,0.001291,"tm15","m10",18,18,6.57,53.6944444444444,15,1,2,465,0.052,0.7,0.195,5,6,30,0.951701048692827,3.9098675,27.2,1,65,3.3761716137821,29.3488206441778,0
"14",1,4475,8.061,0.134,9.999,7.2251,0.8692,0.1284,0.0351858377202057,0.01449,0.001264,"tm15","m10",18,18,6.57,55.55,15,1,2,465,0.052,0.7,0.195,5,6,30,0.951899968155761,4.21634960002778,27.2,1,65,3.3761716137821,27.2154851673694,1.63292911004217
"15",2,4641,8.076,0.1406,10.373,7.5444,0.8729,0.2364,0.0678584013175395,0.01349,0.001233,"tm15","m10",18,18,6.57,57.6277777777778,15,1,2,465,0.052,0.7,0.195,5,6,30,0.9521562810371,4.56613074266667,27.2,1,65,3.3761716137821,25.1306864535782,3.01568237442938
"16",3,4825,8.101,0.1475,10.786,7.8831,0.8766,0.326,0.0979234430123938,0.01252,0.001197,"tm15","m10",18,18,6.57,59.9222222222222,15,1,2,465,0.052,0.7,0.195,5,6,30,0.952477248854329,4.95941368225,27.2,1,65,3.3761716137821,23.1378157484011,4.1648068347122
"17",4,5026,8.135,0.1548,11.237,8.2392,0.8802,0.3993,0.125318130951697,0.01159,0.001158,"tm15","m10",18,18,6.57,62.4277777777778,15,1,2,465,0.052,0.7,0.195,5,6,30,0.952856619542507,5.39803089066667,27.2,1,65,3.3761716137821,21.2577516365098,5.10186039276236
"18",5,5244,8.179,0.1625,11.725,8.6109,0.8836,0.4584,0.150168128841592,0.0107,0.001116,"tm15","m10",18,18,6.57,65.1388888888889,15,1,2,465,0.052,0.7,0.195,5,6,30,0.953287296399989,5.88389733558333,27.2,1,65,3.3761716137821,19.502379707756,5.8507139123268
"19",6,5477,8.233,0.1704,12.247,8.9972,0.887,0.5054,0.172504852608616,0.009875,0.001073,"tm15","m10",18,18,6.57,68.0388888888889,15,1,2,465,0.052,0.7,0.195,5,6,30,0.953752318769927,6.41843253288889,27.2,1,65,3.3761716137821,17.8781968045946,6.43615084965405
"20",7,5726,8.297,0.1786,12.802,9.3971,0.8902,0.5423,0.192516797811983,0.009106,0.001029,"tm15","m10",18,18,6.57,71.1222222222222,15,1,2,465,0.052,0.7,0.195,5,6,30,0.95424406420612,7.00389616780555,27.2,1,65,3.3761716137821,16.383738029622,6.88116997244126
"21",8,5988,8.37,0.1871,13.388,9.8099,0.8933,0.5708,0.210392460010908,0.008399,0.0009855,"tm15","m10",18,18,6.57,74.3777777777778,15,1,2,465,0.052,0.7,0.195,5,6,30,0.954751633001117,7.64218187225,27.2,1,65,3.3761716137821,15.0153453448518,7.20736576552887
"22",9,6263,8.453,0.1958,14.002,10.2355,0.8962,0.5923,0.226288918838073,0.007754,0.0009429,"tm15","m10",18,18,6.57,77.7888888888889,15,1,2,465,0.052,0.7,0.195,5,6,30,0.955260945129803,8.33498088958333,27.2,1,65,3.3761716137821,13.7672781161873,7.43433018274114
"23",10,6550,8.546,0.2048,14.642,10.674,0.899,0.6083,0.240426085779227,0.007167,0.0009017,"tm15","m10",18,18,6.57,81.3444444444444,15,1,2,465,0.052,0.7,0.195,5,6,30,0.955762841308903,9.0845821,27.2,1,65,3.3761716137821,12.6312909869569,7.57877459217414
"24",11,6848,8.649,0.2141,15.306,11.1255,0.9017,0.6197,0.25296104046705,0.006637,0.0008623,"tm15","m10",18,18,6.57,85.0333333333333,15,1,2,465,0.052,0.7,0.195,5,6,30,0.95624997071461,9.89321180625,27.2,1,65,3.3761716137821,11.598862153897,7.65524902157201
"25",0,4403,8.34463125,0.1324,9.839,7.1451,0.868,0,0,0.01549,0.00129,"tm15","m10",21,18,6.805,54.6611111111111,15,1,2,465,0.052,0.7,0.195,5,7,35,0.951523922765928,4.10456422225,27.2,1,65,3.25958082329881,32.616129935132,0
