"","V","rpm","thrust","Q","Volts","Amps","effmot","effprop","adv","CT","CP","prop","motor","capacity","Volts100","vmass","throttle","Prop_diam","struct_mass","payload","motor_Kv","motor_IR","motor_I0","motor_mass","batt_ser","batt_par","total_batt","effesc","I_batt","thrust0","C_d","hover_throttle","t2wr","endur","range"
"1",0,4774,5.90390325,0.08487,10.518,4.8328,0.8347,0,0,0.01652,0.001439,"tm13","m10",9,18,4.8146,58.4333333333333,13,2,0,465,0.052,0.7,0.195,5,3,15,0.964631994453228,2.92750618844445,17.17,1,65,2.90824548996463,19.5985922169772,0
"2",1,4932,5.909,0.08871,10.868,5.0196,0.8399,0.129,0.0368508818266083,0.01549,0.001409,"tm13","m10",9,18,4.8146,60.3777777777778,13,2,0,465,0.052,0.7,0.195,5,3,15,0.964931128351466,3.14086968933333,17.17,1,65,2.90824548996463,18.2672334974133,1.0960340098448
"3",2,5112,5.924,0.09295,11.266,5.2264,0.8452,0.2381,0.071094241750737,0.01446,0.001374,"tm13","m10",9,18,4.8146,62.5888888888889,13,2,0,465,0.052,0.7,0.195,5,3,15,0.965272137170431,3.38883260266667,17.17,1,65,2.90824548996463,16.9306090701712,2.03167308842054
"4",3,5312,5.948,0.09753,11.707,5.4493,0.8504,0.3289,0.102604416066243,0.01344,0.001335,"tm13","m10",9,18,4.8146,65.0388888888889,13,2,0,465,0.052,0.7,0.195,5,3,15,0.965648022244466,3.67024432358333,17.17,1,65,2.90824548996463,15.6324742827975,2.81384537090355
"5",0,4888,6.192072,0.08887,10.773,5.0274,0.8399,0,0,0.01653,0.001437,"tm13","m10",12,18,5.0496,59.85,13,2,0,465,0.052,0.7,0.195,5,4,20,0.964599131296689,3.119325741,17.17,1,65,2.77290057350754,24.5245307325536,0
"6",1,5046,6.197,0.09279,11.123,5.2184,0.8447,0.1264,0.036002651810139,0.01552,0.001408,"tm13","m10",12,18,5.0496,61.7944444444444,13,2,0,465,0.052,0.7,0.195,5,4,20,0.964874842989889,3.342072096,17.17,1,65,2.77290057350754,22.8899909405186,1.37339945643112
"7",2,5225,6.212,0.09713,11.519,5.4295,0.8497,0.2338,0.069554861350478,0.01451,0.001374,"tm13","m10",12,18,5.0496,63.9944444444444,13,2,0,465,0.052,0.7,0.195,5,4,20,0.965186989792178,3.59990177847222,17.17,1,65,2.77290057350754,21.2505797956705,2.55006957548046
"8",3,5424,6.236,0.1018,11.958,5.6566,0.8547,0.3236,0.100499548988337,0.01352,0.001337,"tm13","m10",12,18,5.0496,66.4333333333333,13,2,0,465,0.052,0.7,0.195,5,4,20,0.965536063070708,3.89200163211111,17.17,1,65,2.77290057350754,19.6556957656014,3.53802523780825
"9",4,5641,6.27,0.1068,12.439,5.8988,0.8596,0.3977,0.128836714723717,0.01257,0.001296,"tm13","m10",12,18,5.0496,69.1055555555556,13,2,0,465,0.052,0.7,0.195,5,4,20,0.965915356027439,4.22024402622222,17.17,1,65,2.77290057350754,18.126913876229,4.35045933029495
"10",5,5878,6.315,0.112,12.96,6.1547,0.8644,0.4579,0.154566358556618,0.01166,0.001253,"tm13","m10",12,18,5.0496,72,13,2,0,465,0.052,0.7,0.195,5,4,20,0.966317929783134,4.58584474469444,17.17,1,65,2.77290057350754,16.6817684110449,5.00453052331347
"11",6,6131,6.368,0.1175,13.52,6.423,0.869,0.5064,0.177814144193182,0.0108,0.001208,"tm13","m10",12,18,5.0496,75.1111111111111,13,2,0,465,0.052,0.7,0.195,5,4,20,0.966739720346224,4.99036769166667,17.17,1,65,2.77290057350754,15.3295317552945,5.51863143190603
"12",7,6402,6.432,0.1233,14.116,6.7029,0.8735,0.5448,0.198705735339554,0.01001,0.001162,"tm13","m10",12,18,5.0496,78.4222222222222,13,2,0,465,0.052,0.7,0.195,5,4,20,0.96717093252585,5.43498874558333,17.17,1,65,2.77290057350754,14.0754661290084,5.91169577418352
"13",8,6687,6.506,0.1293,14.745,6.9941,0.8777,0.575,0.217366795701878,0.009278,0.001117,"tm13","m10",12,18,5.0496,81.9166666666667,13,2,0,465,0.052,0.7,0.195,5,4,20,0.967601905804988,5.92116814669444,17.17,1,65,2.77290057350754,12.9197479458014,6.20147901398465
"14",9,6987,6.589,0.1355,15.406,7.2966,0.8818,0.5982,0.23404865269244,0.008608,0.001072,"tm13","m10",12,18,5.0496,85.5888888888889,13,2,0,465,0.052,0.7,0.195,5,4,20,0.968027933694548,6.45134158766667,17.17,1,65,2.77290057350754,11.8579986752288,6.40331928462357
"15",0,4999,6.48024075,0.09286,11.023,5.2217,0.8446,0,0,0.01654,0.001435,"tm13","m10",15,18,5.2846,61.2388888888889,13,2,0,465,0.052,0.7,0.195,5,5,25,0.964553553810634,3.31522396913889,17.17,1,65,2.6495929182878,28.8442050643227,0
"16",1,5157,6.485,0.09687,11.372,5.4169,0.8492,0.124,0.0352486695732775,0.01555,0.001407,"tm13","m10",15,18,5.2846,63.1777777777778,13,2,0,465,0.052,0.7,0.195,5,5,25,0.964804406946897,3.54712003780556,17.17,1,65,2.6495929182878,26.958489980835,1.6175093988501
"17",2,5335,6.5,0.1013,11.767,5.6322,0.8539,0.2297,0.0681097287298267,0.01456,0.001375,"tm13","m10",15,18,5.2846,65.3722222222222,13,2,0,465,0.052,0.7,0.195,5,5,25,0.965092789812846,3.815067669,17.17,1,65,2.6495929182878,25.0650862046348,3.00781034455617
